compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds
Naproxen (Racemate),0,C,6,1,0,4,3,0,0,0,3,0,0,1,0,0,1,0,0
Naproxen (Racemate),1,O,8,2,0,2,2,0,0,0,0,2,0,0,0,1,2,0,0
Naproxen (Racemate),2,C,6,3,0,4,2,1,1,6,0,2,0,1,0,2,1,0,0
Naproxen (Racemate),3,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Naproxen (Racemate),4,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Naproxen (Racemate),5,C,6,3,0,4,2,1,1,6,0,3,0,0,0,3,0,0,0
Naproxen (Racemate),6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Naproxen (Racemate),7,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Naproxen (Racemate),8,C,6,3,0,4,3,0,0,0,1,3,0,0,0,1,3,0,0
Naproxen (Racemate),9,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Naproxen (Racemate),10,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0
Naproxen (Racemate),11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Naproxen (Racemate),12,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0
Naproxen (Racemate),13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Naproxen (Racemate),14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Naproxen (Racemate),15,C,6,3,0,4,2,1,1,6,0,3,0,0,0,3,0,0,0
Naproxen (Racemate),16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Paracetamol,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Paracetamol,1,C,6,3,0,4,2,0,0,0,0,1,1,1,0,0,2,1,0
Paracetamol,2,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Paracetamol,3,N,7,2,0,3,2,0,0,0,1,2,0,0,0,1,2,0,0
Paracetamol,4,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Paracetamol,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Paracetamol,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Paracetamol,7,C,6,3,0,4,2,1,1,6,0,2,0,1,0,2,1,0,0
Paracetamol,8,O,8,1,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0
Paracetamol,9,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Paracetamol,10,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Aspirin,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Aspirin,1,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0
Aspirin,2,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Aspirin,3,O,8,2,0,2,2,0,0,0,0,2,0,0,0,1,2,0,0
Aspirin,4,C,6,3,0,4,2,1,1,6,0,2,0,1,0,2,1,0,0
Aspirin,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Aspirin,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Aspirin,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Aspirin,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Aspirin,9,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Aspirin,10,C,6,3,0,4,2,0,0,0,0,1,0,2,0,1,2,1,0
Aspirin,11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Aspirin,12,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0
Bupivacaine,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Bupivacaine,1,C,6,2,0,4,3,0,0,0,2,2,0,0,0,0,2,0,0
Bupivacaine,2,C,6,2,0,4,3,0,0,0,2,2,0,0,0,0,2,0,0
Bupivacaine,3,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0
Bupivacaine,4,N,7,3,0,3,3,0,1,6,0,3,0,0,0,0,3,0,0
Bupivacaine,5,C,6,2,0,4,3,0,1,6,2,1,1,0,0,0,2,0,0
Bupivacaine,6,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Bupivacaine,7,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Bupivacaine,8,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Bupivacaine,9,C,6,3,0,4,3,0,1,6,1,2,1,0,0,0,3,0,0
Bupivacaine,10,C,6,3,0,4,2,0,0,0,0,1,1,1,0,0,2,1,0
Bupivacaine,11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Bupivacaine,12,N,7,2,0,3,2,0,0,0,1,2,0,0,0,1,2,0,0
Bupivacaine,13,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Bupivacaine,14,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Bupivacaine,15,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0
Bupivacaine,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Bupivacaine,17,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Bupivacaine,18,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Bupivacaine,19,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Bupivacaine,20,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0
Carbamazepine,0,N,7,1,0,3,2,0,0,0,2,1,0,0,0,0,1,0,0
Carbamazepine,1,C,6,3,0,4,2,0,0,0,0,0,2,1,0,0,2,1,0
Carbamazepine,2,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Carbamazepine,3,N,7,3,0,3,2,0,1,7,0,3,0,0,0,2,3,0,0
Carbamazepine,4,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Carbamazepine,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,9,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Carbamazepine,10,C,6,2,0,4,2,0,1,7,1,2,0,0,0,1,1,1,0
Carbamazepine,11,C,6,2,0,4,2,0,1,7,1,2,0,0,0,1,1,1,0
Carbamazepine,12,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Carbamazepine,13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,15,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Carbamazepine,17,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Diclofenac,0,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Diclofenac,1,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0
Diclofenac,2,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0
Diclofenac,3,C,6,2,0,4,3,0,0,0,2,2,0,0,0,1,2,0,0
Diclofenac,4,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Diclofenac,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,9,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Diclofenac,10,N,7,2,0,3,2,0,0,0,1,2,0,0,0,2,2,0,0
Diclofenac,11,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Diclofenac,12,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0
Diclofenac,13,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0
Diclofenac,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,15,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Diclofenac,17,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0
Diclofenac,18,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0
Gabapentin,0,N,7,1,0,3,3,0,0,0,2,1,0,0,0,0,1,0,0
Gabapentin,1,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0
Gabapentin,2,C,6,4,0,4,3,0,1,6,0,4,0,0,0,0,4,0,0
Gabapentin,3,C,6,2,0,4,3,0,0,0,2,2,0,0,0,0,2,0,0
Gabapentin,4,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0
Gabapentin,5,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Gabapentin,6,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0
Gabapentin,7,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Gabapentin,8,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Gabapentin,9,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Gabapentin,10,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Gabapentin,11,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Ibuprofen (Racemate),0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Ibuprofen (Racemate),1,C,6,3,0,4,3,0,0,0,1,3,0,0,0,0,3,0,0
Ibuprofen (Racemate),2,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Ibuprofen (Racemate),3,C,6,2,0,4,3,0,0,0,2,2,0,0,0,1,2,0,0
Ibuprofen (Racemate),4,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Ibuprofen (Racemate),5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ibuprofen (Racemate),6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ibuprofen (Racemate),7,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Ibuprofen (Racemate),8,C,6,3,0,4,3,0,0,0,1,3,0,0,0,1,3,0,0
Ibuprofen (Racemate),9,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Ibuprofen (Racemate),10,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0
Ibuprofen (Racemate),11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Ibuprofen (Racemate),12,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0
Ibuprofen (Racemate),13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ibuprofen (Racemate),14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lidocaine,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Lidocaine,1,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0
Lidocaine,2,N,7,3,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0
Lidocaine,3,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0
Lidocaine,4,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Lidocaine,5,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0
Lidocaine,6,C,6,3,0,4,2,0,0,0,0,1,1,1,0,0,2,1,0
Lidocaine,7,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Lidocaine,8,N,7,2,0,3,2,0,0,0,1,2,0,0,0,1,2,0,0
Lidocaine,9,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0
Lidocaine,10,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Lidocaine,11,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0
Lidocaine,12,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lidocaine,13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lidocaine,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lidocaine,15,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Lidocaine,16,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0
Ketamine,0,C,6,1,0,4,3,0,0,0,3,0,1,0,0,0,1,0,0
Ketamine,1,N,7,2,0,3,3,0,0,0,1,2,0,0,0,0,2,0,0
Ketamine,2,C,6,4,0,4,3,0,1,6,0,3,1,0,0,1,4,0,0
Ketamine,3,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Ketamine,4,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ketamine,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ketamine,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ketamine,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Ketamine,8,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0
Ketamine,9,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0
Ketamine,10,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Ketamine,11,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Ketamine,12,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Ketamine,13,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0
Ketamine,14,C,6,3,0,4,2,0,1,6,0,2,0,1,0,0,2,1,0
Ketamine,15,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Lamotrigine,0,N,7,1,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0
Lamotrigine,1,C,6,3,0,4,2,1,1,6,0,0,3,0,0,2,1,0,0
Lamotrigine,2,N,7,2,0,3,2,1,1,6,0,1,1,0,0,2,0,0,0
Lamotrigine,3,N,7,2,0,3,2,1,1,6,0,1,1,0,0,2,0,0,0
Lamotrigine,4,C,6,3,0,4,2,1,1,6,0,2,1,0,0,3,1,0,0
Lamotrigine,5,C,6,3,0,4,2,1,1,6,0,3,0,0,0,3,1,0,0
Lamotrigine,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lamotrigine,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lamotrigine,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
Lamotrigine,9,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0
Lamotrigine,10,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0
Lamotrigine,11,C,6,3,0,4,2,1,1,6,0,2,0,0,1,2,1,0,0
Lamotrigine,12,Cl,17,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0
Lamotrigine,13,C,6,3,0,4,2,1,1,6,0,1,2,0,0,2,1,0,0
Lamotrigine,14,N,7,1,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0
Lamotrigine,15,N,7,2,0,3,2,1,1,6,0,2,0,0,0,2,0,0,0
Propofol,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Propofol,1,C,6,3,0,4,3,0,0,0,1,3,0,0,0,1,3,0,0
Propofol,2,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
Propofol,3,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
Propofol,4,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
