compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Naproxen (Racemate),0,C,6,1,0,4,3,0,0,0,3,0,0,1,0,0,1,0,0,0.07750708225032314,-0.4967451042461023,-0.4967451042461023,-0.4967451042461023,-3.6880399909212467,-0.5943559417423967,0.279519182719148,-5.0275347916258,3,Heteroatom-Adjacent Carbon
Naproxen (Racemate),1,O,8,2,0,2,2,0,0,0,0,2,0,0,0,1,2,0,0,-0.4967451042461023,0.09825323083080656,0.11899937941128998,0.07750708225032314,-3.335597325607747,0.15297776726066115,-2.758915998177792,1.303402298958363,2,Electron-Rich Heteroatom
Naproxen (Racemate),2,C,6,3,0,4,2,1,1,6,0,2,0,1,0,2,1,0,0,0.11899937941128998,-0.17606926012413016,-0.012117409376485505,-0.4967451042461023,3.108131373463951,0.655074078635117,3.362503567146694,-1.4136567095583359,7,Activated Aromatic/Heteroaromatic
Naproxen (Racemate),3,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.019345266749802616,0.034154672642756165,0.11899937941128998,-0.05069003412577764,3.1505779643464265,-0.7143017874463458,1.6401660504355313,1.6459641181552203,0,Aromatic Carbon
Naproxen (Racemate),4,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.05069003412577764,-0.018589042192540643,-0.017832817635278667,-0.019345266749802616,3.1522478536628395,-0.7153728168627405,1.8819048001801986,1.4864330288002796,0,Aromatic Carbon
Naproxen (Racemate),5,C,6,3,0,4,2,1,1,6,0,3,0,0,0,3,0,0,0,-0.017832817635278667,-0.0385625240833677,-0.014701489682021975,-0.05069003412577764,3.63345581427748,0.01835411475152915,2.9984501886352266,1.59032079593473,0,Aromatic Carbon
Naproxen (Racemate),6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.05029604844230349,-0.02565086629529991,-0.017832817635278667,-0.03346891495532115,3.1524998885335296,-0.7137066424650342,1.9144936338376555,1.4420852667807864,0,Aromatic Carbon
Naproxen (Racemate),7,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.03346891495532115,-0.009652949246528424,0.07888074829045653,-0.05754354758773832,3.26033449739062,0.8023153542138912,2.335129023302363,1.2173844594707801,0,Aromatic Carbon
Naproxen (Racemate),8,C,6,3,0,4,3,0,0,0,1,3,0,0,0,1,3,0,0,0.07888074829045653,0.07631728818621981,0.31018572532324495,-0.04776494580926435,-3.0887313408852455,2.477506261673188,-1.049414479784218,-1.2578712219344454,5,Saturated Ring Atom
Naproxen (Racemate),9,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0,-0.04776494580926435,0.07888074829045653,0.07888074829045653,0.07888074829045653,-3.548073294378717,-0.483012495103067,-2.4701796507228515,-0.6657966052923484,1,Aliphatic sp3 Atom
