name,smiles,mol_wt,log_p,tpsa,h_donors,h_acceptors,rotatable_bonds,ring_count,heavy_atoms,hetero_atoms,valence_electrons,fraction_csp3
Naproxen (Racemate),COc1ccc2cc(C(C)C(=O)O)ccc2c1,230.26299999999998,3.036500000000001,46.53,1,2,3,2,17,3,88,0.21428571428571427
Paracetamol,CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,49.33,2,2,1,1,11,3,58,0.125
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.15899999999996,1.3101,63.60000000000001,1,3,2,1,13,4,68,0.1111111111111111
Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,288.43500000000006,3.8965400000000026,32.34,1,2,5,2,21,3,116,0.6111111111111112
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.274,3.3872000000000018,46.330000000000005,1,1,0,3,18,3,88,0.0
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.153,4.364100000000001,49.33,2,2,4,2,19,5,98,0.07142857142857142
Gabapentin,NCC1(CC(=O)O)CCCCC1,171.23999999999992,1.3702999999999994,63.32000000000001,2,2,3,1,12,3,70,0.8888888888888888
Ibuprofen (Racemate),CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,3.073200000000001,37.3,1,1,4,1,15,2,82,0.46153846153846156
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,2.5837400000000006,32.34,1,2,5,1,17,3,94,0.5
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,237.7299999999999,2.897800000000001,29.1,1,2,2,2,16,3,86,0.46153846153846156
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.09599999999995,2.0098,90.71,2,5,1,2,16,7,82,0.0
Propofol,CC(C)c1cccc(C(C)C)c1O,178.27499999999995,3.6390000000000025,20.23,1,1,2,1,13,1,72,0.5
rac-Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,244.294,2.669100000000001,44.12,0,3,4,2,18,4,94,0.2857142857142857
(S)-Ibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,206.28499999999997,3.073200000000001,37.3,1,1,4,1,15,2,82,0.46153846153846156
(R)-Ibuprofen,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,206.28499999999997,3.073200000000001,37.3,1,1,4,1,15,2,82,0.46153846153846156
(S)-Naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,230.26299999999998,3.036500000000001,46.53,1,2,3,2,17,3,88,0.21428571428571427
(+)-Etomidate,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,244.294,2.669100000000001,44.12,0,3,4,2,18,4,94,0.2857142857142857
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,170.212,-0.12729999999999997,63.400000000000006,1,2,3,1,12,4,68,0.75
Pregabalin,CC(C)C[C@H](CN)CC(=O)O,159.229,1.0821,63.32000000000001,2,2,5,0,11,3,66,0.875
(-)-Etomidate,CCOC(=O)c1cncn1[C@@H](C)c1ccccc1,244.294,2.669100000000001,44.12,0,3,4,2,18,4,94,0.2857142857142857
