compound_name,(+)-Etomidate,(-)-Etomidate,(R)-Ibuprofen,(S)-Ibuprofen,(S)-Naproxen,Aspirin,Bupivacaine,Carbamazepine,Diclofenac,Gabapentin,Ibuprofen (Racemate),Ketamine,Lamotrigine,Levetiracetam,Lidocaine,Naproxen (Racemate),Paracetamol,Pregabalin,Propofol,rac-Etomidate
(+)-Etomidate,1.0,1.0,0.8380817098475258,0.8380817098475258,0.9493311975587311,0.8910421112136307,0.7185757571479553,0.9292399270937851,0.9563993898788637,0.10393492741038726,0.8380817098475258,0.7409585736349484,0.9277781834703687,0.21912524504463882,0.8827348295047495,0.9493311975587311,0.9239131562447777,0.26339329200376005,0.8275891183029994,1.0
(-)-Etomidate,1.0,1.0,0.8380817098475258,0.8380817098475258,0.9493311975587311,0.8910421112136307,0.7185757571479553,0.9292399270937851,0.9563993898788637,0.10393492741038726,0.8380817098475258,0.7409585736349484,0.9277781834703687,0.21912524504463882,0.8827348295047495,0.9493311975587311,0.9239131562447777,0.26339329200376005,0.8275891183029994,1.0
(R)-Ibuprofen,0.8380817098475258,0.8380817098475258,1.0,1.0,0.8734403922594389,0.8338763984501665,0.9002756367784499,0.8130980609588602,0.8983732124719945,0.37204580241691376,1.0,0.8841125691309418,0.7476019261170058,0.4040752852602991,0.8952881279506095,0.8734403922594389,0.8017557632030176,0.6043868462871549,0.9684902240602393,0.8380817098475258
(S)-Ibuprofen,0.8380817098475258,0.8380817098475258,1.0,1.0,0.8734403922594389,0.8338763984501665,0.9002756367784499,0.8130980609588602,0.8983732124719945,0.37204580241691376,1.0,0.8841125691309418,0.7476019261170058,0.4040752852602991,0.8952881279506095,0.8734403922594389,0.8017557632030176,0.6043868462871549,0.9684902240602393,0.8380817098475258
(S)-Naproxen,0.9493311975587311,0.9493311975587311,0.8734403922594389,0.8734403922594389,0.9999999999999999,0.923229535613814,0.7133980980394072,0.9778119717864392,0.9873059571550873,0.18544954675472894,0.8734403922594389,0.8135885378894743,0.8566513376743885,0.24880667576405963,0.8198340515786546,0.9999999999999999,0.9078412990032038,0.23359392871314266,0.8257035174973978,0.9493311975587311
Aspirin,0.8910421112136307,0.8910421112136307,0.8338763984501665,0.8338763984501665,0.923229535613814,0.9999999999999999,0.650324887319436,0.8831913668924228,0.925785694818907,0.15253477177414312,0.8338763984501665,0.6990620736425556,0.8134270340432018,0.3215879404125773,0.777300330757555,0.923229535613814,0.9553170046101168,0.2973505167250263,0.7474269373872828,0.8910421112136307
Bupivacaine,0.7185757571479553,0.7185757571479553,0.9002756367784499,0.9002756367784499,0.7133980980394072,0.650324887319436,1.0000000000000002,0.6232139985712922,0.7267254715146156,0.6721660724223313,0.9002756367784499,0.9184501474121285,0.6303146064351617,0.681364093647772,0.8880365878611453,0.7133980980394072,0.6548483922086271,0.8153084551415756,0.9126134824596256,0.7185757571479553
Carbamazepine,0.9292399270937851,0.9292399270937851,0.8130980609588602,0.8130980609588602,0.9778119717864392,0.8831913668924228,0.6232139985712922,0.9999999999999999,0.9757060460658833,0.11037769642208699,0.8130980609588602,0.7770533569225757,0.8598892366800224,0.13327849749579576,0.7218397547786817,0.9778119717864392,0.8741467574762477,0.09037128496931669,0.7690288519554892,0.9292399270937851
Diclofenac,0.9563993898788637,0.9563993898788637,0.8983732124719945,0.8983732124719945,0.9873059571550873,0.925785694818907,0.7267254715146156,0.9757060460658833,0.9999999999999999,0.16496718065249089,0.8983732124719945,0.8028880096316237,0.9062057756057679,0.20430156738209967,0.8173029975005109,0.9873059571550873,0.9331952969008203,0.25974269357686797,0.8705267579246025,0.9563993898788637
Gabapentin,0.10393492741038726,0.10393492741038726,0.37204580241691376,0.37204580241691376,0.18544954675472894,0.15253477177414312,0.6721660724223313,0.11037769642208699,0.16496718065249089,1.0,0.37204580241691376,0.6600983619844496,0.06011130897782881,0.8944271909999159,0.31193973345246884,0.18544954675472894,0.130945700219731,0.73282810879294,0.37714451164442864,0.10393492741038726
